Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C10, C15, C2, C20, C7, C9",0201,7,100nF,C190183
C11,0201,1,1pF,C85893
C12,0201,1,1.2pF,C22374839
"C13, C14",0201,2,11pF,C384958
"C16, C18, C4",0603,3,10uF,C711098
C17,0805,1,22uF,C98190
"C19, C3, C6, C8",0402,4,1uF,C106254
C21,0201,1,1.8pF,C22374841
C5,0201,1,10nF,C272853
"J1, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,0201,1,2.0nH,C86125
L2,0201,1,3.9nH,C76756
L3,0201,1,24nH,C275178
L4,0201,1,2.7nH,C7216765
L5,0201,1,2nH,C86125
R1,0201,1,499,C138137
R2,0201,1,10K,C473048
"R3, R4",0201,2,5.1K,C270344
"R5, R6",0201,2,22,C142011
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,1,ESP32-S3,C2913194
U3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,L327S400H11L,C5261245
U4,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
U5,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
